Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps
Running,7/15/20 9:41,Cherry Hill Running,6,530,0:43:55,141,160,176,182,7:19,6:20,169,173,1.26,00:02.3,7
Running,7/14/20 17:45,Cherry Hill Running,6.5,587,0:47:04,144,160,172,182,7:14,6:35,183,187,1.29,03:32.7,7
Running,7/13/20 18:57,Cherry Hill Running,5.01,392,0:40:29,128,151,170,180,8:05,5:49,124,124,1.17,00:04.1,6
Running,7/12/20 18:44,Cherry Hill Running,7.01,633,0:52:55,142,157,172,180,7:33,5:00,215,219,1.24,00:05.1,8
Running,7/11/20 19:35,Cherry Hill Running,5.19,419,0:41:35,129,143,170,178,8:01,6:48,76,80,1.18,01:27.1,6
Running,7/10/20 17:54,Ocean City Running,6.51,539,0:45:48,140,155,170,176,7:02,5:55,16,16,1.35,03:28.7,7
Running,7/9/20 19:02,Ocean City Running,5.01,448,0:35:11,146,159,172,180,7:02,2:04,7,7,1.33,00:03.4,6
Running,7/8/20 18:13,Ocean City Running,5,458,0:35:29,147,172,172,186,7:06,5:18,20,20,1.32,00:01.8,6
Running,7/6/20 9:43,Ocean City Running,6,542,0:42:31,146,167,174,182,7:05,4:24,25,25,1.3,00:02.6,7
Running,7/5/20 18:08,Ocean City Running,3.11,240,0:25:04,125,144,170,176,8:04,6:22,23,23,1.17,00:50.4,4
Running,7/4/20 7:56,Ocean City Running,5.52,396,0:44:49,125,145,172,182,8:07,7:02,19,19,1.16,03:54.8,6
Running,7/3/20 18:16,Ocean City Running,5,466,0:35:12,149,163,172,182,7:02,5:49,44,44,1.32,00:02.2,6
Running,7/2/20 20:21,Ocean City Running,4.01,325,0:32:16,129,141,168,176,8:03,6:57,39,39,1.19,00:03.5,5
Running,7/1/20 16:29,Cherry Hill Running,5.56,495,0:39:49,146,167,172,184,7:09,5:57,199,204,1.31,04:15.6,6
Running,6/29/20 18:56,Cherry Hill Running,7,670,0:52:45,147,163,170,178,7:32,6:25,233,237,1.25,00:01.7,8
Running,6/28/20 19:21,Cherry Hill Running,5.31,447,0:44:06,133,152,168,178,8:18,7:00,221,217,1.15,02:30.2,6
Running,6/27/20 17:27,Cherry Hill Running,6.38,584,0:49:03,141,160,170,178,7:42,4:08,198,204,1.23,02:57.9,7
Running,6/26/20 18:22,Cherry Hill Running,5,431,0:39:06,136,154,172,180,7:49,7:05,137,139,1.2,00:01.1,6
Running,6/25/20 17:47,Cherry Hill Running,7,639,0:50:05,147,162,172,180,7:09,6:14,205,213,1.32,00:02.8,8
Running,6/24/20 18:13,Cherry Hill Running,6,543,0:47:07,139,160,172,178,7:51,6:38,205,200,1.2,00:00.6,7
Running,6/23/20 18:56,Cherry Hill Running,5.14,504,0:37:47,150,191,170,180,7:21,6:03,138,145,1.28,00:59.1,6
Running,6/21/20 17:40,Chicago Running,6,520,0:41:23,145,157,172,178,6:54,6:07,105,105,1.36,00:00.6,7
Running,6/20/20 8:58,Chicago Running,4.02,328,0:34:04,127,152,172,178,8:29,6:49,47,47,1.11,00:10.2,5
Running,6/18/20 17:47,Cherry Hill Running,5,440,0:39:47,136,152,170,178,7:57,7:07,169,162,1.18,00:01.0,6
Running,6/17/20 18:02,Cherry Hill Running,7.01,625,0:50:04,146,162,170,178,7:09,5:58,200,207,1.33,00:05.0,8
Running,6/16/20 9:50,Ocean City Running,6,576,0:42:33,151,175,172,178,7:05,6:25,49,49,1.32,00:01.4,7
Running,6/15/20 18:07,Ocean City Running,4.12,283,0:33:39,120,136,170,180,8:10,6:34,22,22,1.16,00:55.9,5
Running,6/14/20 10:40,Ocean City Running,7.75,582,1:02:25,130,151,170,182,8:03,3:54,57,57,1.17,05:57.9,8
Running,6/13/20 18:09,Ocean City Running,5,430,0:39:45,135,169,172,178,7:57,1:58,39,39,1.17,00:01.6,6
Running,6/11/20 18:10,Cherry Hill Running,7,616,0:50:54,143,161,172,180,7:16,6:22,220,226,1.29,00:01.0,8
Running,6/10/20 20:28,Cherry Hill Running,5,429,0:40:37,134,153,168,178,8:07,6:55,109,107,1.17,00:01.6,6
Running,6/9/20 17:42,Cherry Hill Running,4.16,373,0:32:08,139,153,170,176,7:43,6:21,102,105,1.23,01:13.7,5
Running,6/8/20 18:00,Cherry Hill Running,8.46,763,1:01:19,147,163,172,178,7:15,6:27,279,283,1.3,03:14.6,9
Running,6/7/20 17:46,Cherry Hill Running,5.13,443,0:38:25,141,163,170,178,7:29,5:06,139,146,1.26,00:59.3,6
Running,6/6/20 18:39,Cherry Hill Running,5,465,0:38:15,145,157,172,182,7:39,5:45,134,136,1.22,07:28.0,5
Running,6/5/20 16:48,Cherry Hill Running,4.77,353,0:38:52,128,164,170,178,8:09,7:20,75,78,1.17,06:03.3,5
Running,6/4/20 18:33,Cherry Hill Running,5,458,0:39:47,142,154,170,178,7:57,6:59,135,131,1.19,00:02.0,6
Running,6/2/20 17:50,Cherry Hill Running,6,558,0:44:23,140,154,170,180,7:24,4:26,150,155,1.28,00:02.0,7
Running,6/1/20 18:10,Cherry Hill Running,6,570,0:42:05,148,177,172,180,7:01,5:56,195,192,1.33,06:22.7,6
Running,5/31/20 19:25,Cherry Hill Running,4,358,0:29:02,140,150,172,178,7:16,6:20,108,114,1.29,07:06.8,4
Running,5/30/20 18:49,Ocean City Running,6,571,0:48:04,138,151,170,178,8:01,5:25,49,49,1.18,00:02.9,7
